SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
VMART, EQ, 01-Jan-2018, 1491.45, 1491.45, 1500.00, 1476.05, 1489.00, 1489.00, 1489.36, 13865, 206.50, 1218, 12791, 92.25
VOLTAMP, EQ, 01-Jan-2018, 1121.55, 1124.30, 1140.00, 1108.00, 1113.50, 1112.25, 1122.24, 16124, 180.95, 2093, 11159, 69.21
VOLTAS, EQ, 01-Jan-2018, 655.90, 656.00, 660.80, 646.80, 650.00, 648.95, 653.05, 511241, 3338.66, 6711, 164519, 32.18
VRLLOG, EQ, 01-Jan-2018, 431.65, 423.25, 435.55, 423.25, 425.25, 429.70, 428.19, 44536, 190.70, 1413, 15143, 34.00
VSCL, SM, 01-Jan-2018, 130.80, 132.25, 133.45, 131.00, 131.00, 131.00, 131.61, 24000, 31.59, 6, 24000, 100.00
VSSL, EQ, 01-Jan-2018, 167.55, 170.40, 172.80, 167.05, 167.30, 168.20, 170.51, 15366, 26.20, 245, 11954, 77.80
VSTIND, EQ, 01-Jan-2018, 3207.05, 3204.90, 3204.95, 3165.00, 3195.00, 3179.50, 3184.09, 681, 21.68, 100, 467, 68.58
VSTTILLERS, EQ, 01-Jan-2018, 2506.90, 2481.05, 2527.90, 2475.00, 2477.50, 2485.15, 2502.66, 2856, 71.48, 479, 2121, 74.26
VTL, EQ, 01-Jan-2018, 1378.85, 1399.00, 1445.75, 1398.85, 1420.00, 1427.35, 1428.54, 45672, 652.44, 2844, 21048, 46.09
WABAG, EQ, 01-Jan-2018, 610.65, 611.95, 632.00, 611.95, 631.00, 628.95, 625.45, 93523, 584.94, 3246, 57540, 61.52
WABCOINDIA, EQ, 01-Jan-2018, 7337.35, 7261.00, 7374.00, 7135.10, 7140.00, 7171.15, 7243.95, 2493, 180.59, 738, 1188, 47.65
